repo_full,org,repo,month,openrank
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-03,200.95
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-04,189.76
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-05,200.94
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-06,200.8
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-07,195.8
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-08,193.39
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-09,200.46
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-10,198.56
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-11,192.11
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-12,185.91
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-01,193.15
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-02,199.95
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-03,203.73
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-04,216.44
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-05,215.6
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-06,215.18
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-07,211.23
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-08,200.85
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-09,210.77
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-10,211.59
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-11,206.38
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-12,192.88
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-01,200.35
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-02,210.13
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-03,201.99
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-04,205.37
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-05,213.87
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-06,209.41
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-07,219.01
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-08,222.99
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-09,226.47
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-10,226.63
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-11,243.09
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-12,240.35
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-01,250.59
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-02,255.48
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-03,266.8
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-04,243.02
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-05,229.91
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-06,245.11
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-07,253.23
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-08,257.96
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-09,247.78
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-10,204.79
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-11,219.26
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-12,210.22
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-01,223.57
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-02,200.65
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-03,177.56
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-04,195.14
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-05,197.48
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-06,194.15
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-07,191.59
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-08,195.66
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-09,189.31
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-10,179.07
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-11,186.5
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-12,184.73
ArduPilot/ardupilot,ArduPilot,ardupilot,2023-01,197.37
ArduPilot/ardupilot,ArduPilot,ardupilot,2023-02,191.04
ArduPilot/ardupilot,ArduPilot,ardupilot,2023-03,200.75
Automattic/jetpack,Automattic,jetpack,2015-01,37.82
Automattic/jetpack,Automattic,jetpack,2015-02,48.72
Automattic/jetpack,Automattic,jetpack,2015-03,64.87
Automattic/jetpack,Automattic,jetpack,2015-04,80.18
Automattic/jetpack,Automattic,jetpack,2015-05,85.58
Automattic/jetpack,Automattic,jetpack,2015-06,97.74
Automattic/jetpack,Automattic,jetpack,2015-07,95.15
Automattic/jetpack,Automattic,jetpack,2015-08,105.74
Automattic/jetpack,Automattic,jetpack,2015-09,98.99
Automattic/jetpack,Automattic,jetpack,2015-10,104.5
Automattic/jetpack,Automattic,jetpack,2015-11,98.66
Automattic/jetpack,Automattic,jetpack,2015-12,90.34
Automattic/jetpack,Automattic,jetpack,2016-01,92.81
Automattic/jetpack,Automattic,jetpack,2016-02,86.01
Automattic/jetpack,Automattic,jetpack,2016-03,86.03
Automattic/jetpack,Automattic,jetpack,2016-04,91.75
Automattic/jetpack,Automattic,jetpack,2016-05,96.42
Automattic/jetpack,Automattic,jetpack,2016-06,111.42
Automattic/jetpack,Automattic,jetpack,2016-07,106.84
Automattic/jetpack,Automattic,jetpack,2016-08,110.3
Automattic/jetpack,Automattic,jetpack,2016-09,106.23
Automattic/jetpack,Automattic,jetpack,2016-10,113.33
Automattic/jetpack,Automattic,jetpack,2016-11,128.18
Automattic/jetpack,Automattic,jetpack,2016-12,130.38
Automattic/jetpack,Automattic,jetpack,2017-01,138.86
Automattic/jetpack,Automattic,jetpack,2017-02,141.57
Automattic/jetpack,Automattic,jetpack,2017-03,140.38
Automattic/jetpack,Automattic,jetpack,2017-04,141.92
Automattic/jetpack,Automattic,jetpack,2017-05,130.04
Automattic/jetpack,Automattic,jetpack,2017-06,103.08
Automattic/jetpack,Automattic,jetpack,2017-07,92.98
Automattic/jetpack,Automattic,jetpack,2017-08,95.54
Automattic/jetpack,Automattic,jetpack,2017-09,96.57
Automattic/jetpack,Automattic,jetpack,2017-10,93.52
Automattic/jetpack,Automattic,jetpack,2017-11,94.25
Automattic/jetpack,Automattic,jetpack,2017-12,96.73
Automattic/jetpack,Automattic,jetpack,2018-01,104.85
Automattic/jetpack,Automattic,jetpack,2018-02,98.5
Automattic/jetpack,Automattic,jetpack,2018-03,115.72
Automattic/jetpack,Automattic,jetpack,2018-04,119.11
Automattic/jetpack,Automattic,jetpack,2018-05,124.97
Automattic/jetpack,Automattic,jetpack,2018-06,118.11
Automattic/jetpack,Automattic,jetpack,2018-07,102.33
Automattic/jetpack,Automattic,jetpack,2018-08,94.24
Automattic/jetpack,Automattic,jetpack,2018-09,105.37
Automattic/jetpack,Automattic,jetpack,2018-10,123.17
Automattic/jetpack,Automattic,jetpack,2018-11,126.86
Automattic/jetpack,Automattic,jetpack,2018-12,124.85
Automattic/jetpack,Automattic,jetpack,2019-01,129.4
Automattic/jetpack,Automattic,jetpack,2019-02,143.25
Automattic/jetpack,Automattic,jetpack,2019-03,158.78
Automattic/jetpack,Automattic,jetpack,2019-04,200.26
Automattic/jetpack,Automattic,jetpack,2019-05,190.09
Automattic/jetpack,Automattic,jetpack,2019-06,169.59
Automattic/jetpack,Automattic,jetpack,2019-07,179.3
Automattic/jetpack,Automattic,jetpack,2019-08,171.02
Automattic/jetpack,Automattic,jetpack,2019-09,178.6
Automattic/jetpack,Automattic,jetpack,2019-10,170.48
Automattic/jetpack,Automattic,jetpack,2019-11,163.7
Automattic/jetpack,Automattic,jetpack,2019-12,148.63
Automattic/jetpack,Automattic,jetpack,2020-01,137.41
Automattic/jetpack,Automattic,jetpack,2020-02,146.29
Automattic/jetpack,Automattic,jetpack,2020-03,183.54
Automattic/jetpack,Automattic,jetpack,2020-04,178.21
Automattic/jetpack,Automattic,jetpack,2020-05,162.93
Automattic/jetpack,Automattic,jetpack,2020-06,160.5
Automattic/jetpack,Automattic,jetpack,2020-07,155.03
Automattic/jetpack,Automattic,jetpack,2020-08,173.29
Automattic/jetpack,Automattic,jetpack,2020-09,161.51
Automattic/jetpack,Automattic,jetpack,2020-10,163.88
Automattic/jetpack,Automattic,jetpack,2020-11,157.26
Automattic/jetpack,Automattic,jetpack,2020-12,164.03
Automattic/jetpack,Automattic,jetpack,2021-01,175.87
Automattic/jetpack,Automattic,jetpack,2021-02,168.81
Automattic/jetpack,Automattic,jetpack,2021-03,175.38
Automattic/jetpack,Automattic,jetpack,2021-04,172.29
Automattic/jetpack,Automattic,jetpack,2021-05,165.76
Automattic/jetpack,Automattic,jetpack,2021-06,154.32
Automattic/jetpack,Automattic,jetpack,2021-07,153.56
Automattic/jetpack,Automattic,jetpack,2021-08,156.31
Automattic/jetpack,Automattic,jetpack,2021-09,152.23
Automattic/jetpack,Automattic,jetpack,2021-10,151.66
Automattic/jetpack,Automattic,jetpack,2021-11,152.8
Automattic/jetpack,Automattic,jetpack,2021-12,146.29
Automattic/jetpack,Automattic,jetpack,2022-01,149.99
Automattic/jetpack,Automattic,jetpack,2022-02,156.88
Automattic/jetpack,Automattic,jetpack,2022-03,168.34
Automattic/jetpack,Automattic,jetpack,2022-04,182.97
Automattic/jetpack,Automattic,jetpack,2022-05,176.76
Automattic/jetpack,Automattic,jetpack,2022-06,173.83
Automattic/jetpack,Automattic,jetpack,2022-07,166.81
Automattic/jetpack,Automattic,jetpack,2022-08,198.15
Automattic/jetpack,Automattic,jetpack,2022-09,176.46
Automattic/jetpack,Automattic,jetpack,2022-10,163.73
Automattic/jetpack,Automattic,jetpack,2022-11,166.79
Automattic/jetpack,Automattic,jetpack,2022-12,164.86
Automattic/jetpack,Automattic,jetpack,2023-01,175.27
Automattic/jetpack,Automattic,jetpack,2023-02,180.81
Automattic/jetpack,Automattic,jetpack,2023-03,186.14
Automattic/wp-calypso,Automattic,wp-calypso,2015-11,71.07
Automattic/wp-calypso,Automattic,wp-calypso,2015-12,119.54
Automattic/wp-calypso,Automattic,wp-calypso,2016-01,147.07
Automattic/wp-calypso,Automattic,wp-calypso,2016-02,161.86
Automattic/wp-calypso,Automattic,wp-calypso,2016-03,176.98
Automattic/wp-calypso,Automattic,wp-calypso,2016-04,200.04
Automattic/wp-calypso,Automattic,wp-calypso,2016-05,214.12
Automattic/wp-calypso,Automattic,wp-calypso,2016-06,221.49
Automattic/wp-calypso,Automattic,wp-calypso,2016-07,224.79
Automattic/wp-calypso,Automattic,wp-calypso,2016-08,230.15
Automattic/wp-calypso,Automattic,wp-calypso,2016-09,241.88
Automattic/wp-calypso,Automattic,wp-calypso,2016-10,244.82
Automattic/wp-calypso,Automattic,wp-calypso,2016-11,256.31
Automattic/wp-calypso,Automattic,wp-calypso,2016-12,262.68
Automattic/wp-calypso,Automattic,wp-calypso,2017-01,283.56
Automattic/wp-calypso,Automattic,wp-calypso,2017-02,292.55
Automattic/wp-calypso,Automattic,wp-calypso,2017-03,318.28
Automattic/wp-calypso,Automattic,wp-calypso,2017-04,335.39
Automattic/wp-calypso,Automattic,wp-calypso,2017-05,353.32
Automattic/wp-calypso,Automattic,wp-calypso,2017-06,382.13
Automattic/wp-calypso,Automattic,wp-calypso,2017-07,391.73
Automattic/wp-calypso,Automattic,wp-calypso,2017-08,399.45
Automattic/wp-calypso,Automattic,wp-calypso,2017-09,421.64
Automattic/wp-calypso,Automattic,wp-calypso,2017-10,418.27
Automattic/wp-calypso,Automattic,wp-calypso,2017-11,439.75
Automattic/wp-calypso,Automattic,wp-calypso,2017-12,448.97
Automattic/wp-calypso,Automattic,wp-calypso,2018-01,447.76
Automattic/wp-calypso,Automattic,wp-calypso,2018-02,458.08
Automattic/wp-calypso,Automattic,wp-calypso,2018-03,447.33
Automattic/wp-calypso,Automattic,wp-calypso,2018-04,444.23
Automattic/wp-calypso,Automattic,wp-calypso,2018-05,426.68
Automattic/wp-calypso,Automattic,wp-calypso,2018-06,401.51
Automattic/wp-calypso,Automattic,wp-calypso,2018-07,398.57
Automattic/wp-calypso,Automattic,wp-calypso,2018-08,374.28
Automattic/wp-calypso,Automattic,wp-calypso,2018-09,379.95
Automattic/wp-calypso,Automattic,wp-calypso,2018-10,345.19
Automattic/wp-calypso,Automattic,wp-calypso,2018-11,353.0
Automattic/wp-calypso,Automattic,wp-calypso,2018-12,365.59
Automattic/wp-calypso,Automattic,wp-calypso,2019-01,377.4
Automattic/wp-calypso,Automattic,wp-calypso,2019-02,352.69
Automattic/wp-calypso,Automattic,wp-calypso,2019-03,359.33
Automattic/wp-calypso,Automattic,wp-calypso,2019-04,338.07
Automattic/wp-calypso,Automattic,wp-calypso,2019-05,368.28
Automattic/wp-calypso,Automattic,wp-calypso,2019-06,386.0
Automattic/wp-calypso,Automattic,wp-calypso,2019-07,359.91
Automattic/wp-calypso,Automattic,wp-calypso,2019-08,361.33
Automattic/wp-calypso,Automattic,wp-calypso,2019-09,357.28
Automattic/wp-calypso,Automattic,wp-calypso,2019-10,370.05
Automattic/wp-calypso,Automattic,wp-calypso,2019-11,373.81
Automattic/wp-calypso,Automattic,wp-calypso,2019-12,362.7
Automattic/wp-calypso,Automattic,wp-calypso,2020-01,365.04
Automattic/wp-calypso,Automattic,wp-calypso,2020-02,362.67
Automattic/wp-calypso,Automattic,wp-calypso,2020-03,361.18
Automattic/wp-calypso,Automattic,wp-calypso,2020-04,363.18
Automattic/wp-calypso,Automattic,wp-calypso,2020-05,384.3
Automattic/wp-calypso,Automattic,wp-calypso,2020-06,385.81
Automattic/wp-calypso,Automattic,wp-calypso,2020-07,382.91
Automattic/wp-calypso,Automattic,wp-calypso,2020-08,377.41
Automattic/wp-calypso,Automattic,wp-calypso,2020-09,374.91
Automattic/wp-calypso,Automattic,wp-calypso,2020-10,383.16
Automattic/wp-calypso,Automattic,wp-calypso,2020-11,387.75
Automattic/wp-calypso,Automattic,wp-calypso,2020-12,389.56
Automattic/wp-calypso,Automattic,wp-calypso,2021-01,393.41
Automattic/wp-calypso,Automattic,wp-calypso,2021-02,412.56
Automattic/wp-calypso,Automattic,wp-calypso,2021-03,410.88
Automattic/wp-calypso,Automattic,wp-calypso,2021-04,399.01
Automattic/wp-calypso,Automattic,wp-calypso,2021-05,397.65
Automattic/wp-calypso,Automattic,wp-calypso,2021-06,443.6
Automattic/wp-calypso,Automattic,wp-calypso,2021-07,443.41
Automattic/wp-calypso,Automattic,wp-calypso,2021-08,401.55
Automattic/wp-calypso,Automattic,wp-calypso,2021-09,416.38
Automattic/wp-calypso,Automattic,wp-calypso,2021-10,393.77
Automattic/wp-calypso,Automattic,wp-calypso,2021-11,418.04
Automattic/wp-calypso,Automattic,wp-calypso,2021-12,428.94
Automattic/wp-calypso,Automattic,wp-calypso,2022-01,427.96
Automattic/wp-calypso,Automattic,wp-calypso,2022-02,413.72
Automattic/wp-calypso,Automattic,wp-calypso,2022-03,406.67
Automattic/wp-calypso,Automattic,wp-calypso,2022-04,383.64
Automattic/wp-calypso,Automattic,wp-calypso,2022-05,391.08
Automattic/wp-calypso,Automattic,wp-calypso,2022-06,409.49
Automattic/wp-calypso,Automattic,wp-calypso,2022-07,402.74
Automattic/wp-calypso,Automattic,wp-calypso,2022-08,417.0
Automattic/wp-calypso,Automattic,wp-calypso,2022-09,427.88
Automattic/wp-calypso,Automattic,wp-calypso,2022-10,447.37
Automattic/wp-calypso,Automattic,wp-calypso,2022-11,433.43
Automattic/wp-calypso,Automattic,wp-calypso,2022-12,424.96
Automattic/wp-calypso,Automattic,wp-calypso,2023-01,431.6
Automattic/wp-calypso,Automattic,wp-calypso,2023-02,423.71
Automattic/wp-calypso,Automattic,wp-calypso,2023-03,430.83
Azure/azure-cli,Azure,azure-cli,2016-07,4.14
Azure/azure-cli,Azure,azure-cli,2016-08,16.44
Azure/azure-cli,Azure,azure-cli,2016-09,27.12
Azure/azure-cli,Azure,azure-cli,2016-10,39.23
Azure/azure-cli,Azure,azure-cli,2016-11,66.19
Azure/azure-cli,Azure,azure-cli,2016-12,65.7
Azure/azure-cli,Azure,azure-cli,2017-01,79.99
