repo_full,org,repo,month,change_requests,change_request_response_time,change_request_resolution_duration
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-02,476.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-03,710.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-04,580.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-05,134.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-06,139.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-07,196.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-08,234.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-09,195.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-10,16.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-11,216.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-12,606.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-01,593.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-02,464.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-03,279.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-04,268.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-05,371.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-06,195.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-07,195.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-08,144.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-09,134.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-10,88.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-11,109.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-12,148.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2023-01,293.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2023-02,215.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2023-03,178.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-01,59.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-02,39.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-03,39.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-04,113.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-05,73.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-06,84.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-07,97.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-08,104.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-09,80.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-10,116.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-11,112.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-12,99.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-01,122.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-02,82.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-03,92.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-04,125.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-05,163.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-06,98.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-07,120.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-08,135.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-09,99.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-10,146.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-11,132.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-12,98.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-01,130.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-02,82.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-03,118.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-04,135.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-05,130.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-06,115.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-07,121.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-08,133.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-09,104.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-10,80.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-11,112.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-12,94.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-01,87.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-02,127.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-03,153.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-04,129.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-05,186.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-06,155.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-07,212.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-08,188.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-09,94.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-10,114.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-11,136.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-12,131.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-01,161.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-02,204.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-03,239.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-04,208.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-05,153.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-06,167.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-07,189.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-08,196.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-09,201.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-10,194.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-11,146.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2019-12,162.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-01,230.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-02,201.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-03,202.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-04,233.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-05,171.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-06,178.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-07,193.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-08,188.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-09,228.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-10,163.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-11,188.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2020-12,211.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-01,240.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-02,245.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-03,247.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-04,179.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-05,242.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-06,231.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-07,233.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-08,284.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-09,227.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-10,61.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-11,258.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2021-12,200.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-01,269.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-02,182.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-03,174.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-04,198.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-05,158.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-06,154.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-07,184.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-08,222.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-09,211.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-10,200.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-11,196.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2022-12,175.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2023-01,212.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2023-02,234.0,,
ArduPilot/ardupilot,ArduPilot,ardupilot,2023-03,239.0,,
Automattic/jetpack,Automattic,jetpack,2015-01,47.0,,
Automattic/jetpack,Automattic,jetpack,2015-02,54.0,,
Automattic/jetpack,Automattic,jetpack,2015-03,105.0,,
Automattic/jetpack,Automattic,jetpack,2015-04,76.0,,
Automattic/jetpack,Automattic,jetpack,2015-05,72.0,,
Automattic/jetpack,Automattic,jetpack,2015-06,72.0,,
Automattic/jetpack,Automattic,jetpack,2015-07,83.0,,
Automattic/jetpack,Automattic,jetpack,2015-08,116.0,,
Automattic/jetpack,Automattic,jetpack,2015-09,80.0,,
Automattic/jetpack,Automattic,jetpack,2015-10,98.0,,
Automattic/jetpack,Automattic,jetpack,2015-11,74.0,,
Automattic/jetpack,Automattic,jetpack,2015-12,89.0,,
Automattic/jetpack,Automattic,jetpack,2016-01,93.0,,
Automattic/jetpack,Automattic,jetpack,2016-02,69.0,,
Automattic/jetpack,Automattic,jetpack,2016-03,92.0,,
Automattic/jetpack,Automattic,jetpack,2016-04,83.0,,
Automattic/jetpack,Automattic,jetpack,2016-05,168.0,,
Automattic/jetpack,Automattic,jetpack,2016-06,149.0,,
Automattic/jetpack,Automattic,jetpack,2016-07,217.0,,
Automattic/jetpack,Automattic,jetpack,2016-08,309.0,,
Automattic/jetpack,Automattic,jetpack,2016-09,98.0,,
Automattic/jetpack,Automattic,jetpack,2016-10,137.0,,
Automattic/jetpack,Automattic,jetpack,2016-11,194.0,,
Automattic/jetpack,Automattic,jetpack,2016-12,154.0,,
Automattic/jetpack,Automattic,jetpack,2017-01,111.0,,
Automattic/jetpack,Automattic,jetpack,2017-02,191.0,,
Automattic/jetpack,Automattic,jetpack,2017-03,197.0,,
Automattic/jetpack,Automattic,jetpack,2017-04,126.0,,
Automattic/jetpack,Automattic,jetpack,2017-05,116.0,,
Automattic/jetpack,Automattic,jetpack,2017-06,72.0,,
Automattic/jetpack,Automattic,jetpack,2017-07,85.0,,
Automattic/jetpack,Automattic,jetpack,2017-08,88.0,,
Automattic/jetpack,Automattic,jetpack,2017-09,97.0,,
Automattic/jetpack,Automattic,jetpack,2017-10,113.0,,
Automattic/jetpack,Automattic,jetpack,2017-11,114.0,,
Automattic/jetpack,Automattic,jetpack,2017-12,87.0,,
Automattic/jetpack,Automattic,jetpack,2018-01,173.0,,
Automattic/jetpack,Automattic,jetpack,2018-02,125.0,,
Automattic/jetpack,Automattic,jetpack,2018-03,151.0,,
Automattic/jetpack,Automattic,jetpack,2018-04,151.0,,
Automattic/jetpack,Automattic,jetpack,2018-05,128.0,,
Automattic/jetpack,Automattic,jetpack,2018-06,84.0,,
Automattic/jetpack,Automattic,jetpack,2018-07,72.0,,
Automattic/jetpack,Automattic,jetpack,2018-08,72.0,,
Automattic/jetpack,Automattic,jetpack,2018-09,97.0,,
Automattic/jetpack,Automattic,jetpack,2018-10,124.0,,
Automattic/jetpack,Automattic,jetpack,2018-11,115.0,,
Automattic/jetpack,Automattic,jetpack,2018-12,199.0,,
Automattic/jetpack,Automattic,jetpack,2019-01,99.0,,
Automattic/jetpack,Automattic,jetpack,2019-02,141.0,,
Automattic/jetpack,Automattic,jetpack,2019-03,238.0,,
Automattic/jetpack,Automattic,jetpack,2019-04,251.0,,
Automattic/jetpack,Automattic,jetpack,2019-05,216.0,,
Automattic/jetpack,Automattic,jetpack,2019-06,269.0,,
Automattic/jetpack,Automattic,jetpack,2019-07,183.0,,
Automattic/jetpack,Automattic,jetpack,2019-08,135.0,,
Automattic/jetpack,Automattic,jetpack,2019-09,149.0,,
Automattic/jetpack,Automattic,jetpack,2019-10,199.0,,
Automattic/jetpack,Automattic,jetpack,2019-11,165.0,,
Automattic/jetpack,Automattic,jetpack,2019-12,85.0,,
Automattic/jetpack,Automattic,jetpack,2020-01,160.0,,
Automattic/jetpack,Automattic,jetpack,2020-02,199.0,,
Automattic/jetpack,Automattic,jetpack,2020-03,238.0,,
Automattic/jetpack,Automattic,jetpack,2020-04,265.0,,
Automattic/jetpack,Automattic,jetpack,2020-05,233.0,,
Automattic/jetpack,Automattic,jetpack,2020-06,229.0,,
Automattic/jetpack,Automattic,jetpack,2020-07,224.0,,
Automattic/jetpack,Automattic,jetpack,2020-08,222.0,,
Automattic/jetpack,Automattic,jetpack,2020-09,197.0,,
Automattic/jetpack,Automattic,jetpack,2020-10,241.0,,
Automattic/jetpack,Automattic,jetpack,2020-11,179.0,,
Automattic/jetpack,Automattic,jetpack,2020-12,197.0,,
Automattic/jetpack,Automattic,jetpack,2021-01,298.0,,
Automattic/jetpack,Automattic,jetpack,2021-02,232.0,,
Automattic/jetpack,Automattic,jetpack,2021-03,323.0,,
Automattic/jetpack,Automattic,jetpack,2021-04,227.0,,
Automattic/jetpack,Automattic,jetpack,2021-05,173.0,,
Automattic/jetpack,Automattic,jetpack,2021-06,187.0,,
Automattic/jetpack,Automattic,jetpack,2021-07,206.0,,
Automattic/jetpack,Automattic,jetpack,2021-08,237.0,,
Automattic/jetpack,Automattic,jetpack,2021-09,261.0,,
Automattic/jetpack,Automattic,jetpack,2021-10,46.0,,
Automattic/jetpack,Automattic,jetpack,2021-11,268.0,,
Automattic/jetpack,Automattic,jetpack,2021-12,180.0,,
Automattic/jetpack,Automattic,jetpack,2022-01,287.0,,
Automattic/jetpack,Automattic,jetpack,2022-02,373.0,,
Automattic/jetpack,Automattic,jetpack,2022-03,367.0,,
Automattic/jetpack,Automattic,jetpack,2022-04,342.0,,
Automattic/jetpack,Automattic,jetpack,2022-05,292.0,,
Automattic/jetpack,Automattic,jetpack,2022-06,218.0,,
Automattic/jetpack,Automattic,jetpack,2022-07,206.0,,
Automattic/jetpack,Automattic,jetpack,2022-08,321.0,,
Automattic/jetpack,Automattic,jetpack,2022-09,385.0,,
Automattic/jetpack,Automattic,jetpack,2022-10,393.0,,
Automattic/jetpack,Automattic,jetpack,2022-11,344.0,,
Automattic/jetpack,Automattic,jetpack,2022-12,277.0,,
Automattic/jetpack,Automattic,jetpack,2023-01,371.0,,
Automattic/jetpack,Automattic,jetpack,2023-02,403.0,,
Automattic/jetpack,Automattic,jetpack,2023-03,408.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2015-11,200.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2015-12,468.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-01,502.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-02,486.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-03,508.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-04,461.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-05,388.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-06,527.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-07,480.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-08,422.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-09,382.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-10,430.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-11,457.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2016-12,444.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-01,530.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-02,408.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-03,764.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-04,551.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-05,708.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-06,781.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-07,680.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-08,628.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-09,544.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-10,696.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-11,679.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2017-12,625.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-01,588.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-02,563.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-03,682.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-04,516.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-05,459.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-06,465.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-07,402.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-08,375.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-09,380.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-10,448.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-11,472.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2018-12,483.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-01,435.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-02,444.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-03,566.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-04,565.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-05,492.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-06,539.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-07,413.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-08,481.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-09,288.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-10,537.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-11,568.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2019-12,383.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-01,385.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-02,439.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-03,593.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-04,710.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-05,756.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-06,654.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-07,541.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-08,457.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-09,546.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-10,600.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-11,565.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2020-12,487.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-01,520.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-02,640.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-03,568.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-04,500.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-05,454.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-06,504.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-07,545.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-08,329.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-09,447.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-10,72.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-11,714.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2021-12,605.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-01,565.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-02,439.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-03,441.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-04,378.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-05,521.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-06,408.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-07,404.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-08,614.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-09,710.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-10,620.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-11,525.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2022-12,511.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2023-01,679.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2023-02,620.0,,
Automattic/wp-calypso,Automattic,wp-calypso,2023-03,694.0,,
Azure/azure-cli,Azure,azure-cli,2016-07,10.0,,
Azure/azure-cli,Azure,azure-cli,2016-08,95.0,,
Azure/azure-cli,Azure,azure-cli,2016-09,107.0,,
Azure/azure-cli,Azure,azure-cli,2016-10,63.0,,
Azure/azure-cli,Azure,azure-cli,2016-11,138.0,,
Azure/azure-cli,Azure,azure-cli,2016-12,53.0,,
Azure/azure-cli,Azure,azure-cli,2017-01,188.0,,
Azure/azure-cli,Azure,azure-cli,2017-02,213.0,,
Azure/azure-cli,Azure,azure-cli,2017-03,183.0,,
Azure/azure-cli,Azure,azure-cli,2017-04,247.0,,
Azure/azure-cli,Azure,azure-cli,2017-05,268.0,,
Azure/azure-cli,Azure,azure-cli,2017-06,207.0,,
Azure/azure-cli,Azure,azure-cli,2017-07,79.0,,
Azure/azure-cli,Azure,azure-cli,2017-08,114.0,,
Azure/azure-cli,Azure,azure-cli,2017-09,113.0,,
Azure/azure-cli,Azure,azure-cli,2017-10,114.0,,
Azure/azure-cli,Azure,azure-cli,2017-11,99.0,,
